File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
"E:\Data\table_annotation\tmp\file404761_0_cols1_rows11.xml.html.cell.keys",9.0,9.0,0.0,1.0,1.0,1.0,9.0,9.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\file405599_0_cols1_rows23.xml.html.cell.keys",6.0,9.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,9.0,7.0,0.46153846153846156,0.6666666666666666,0.5454545454545455,
"E:\Data\table_annotation\tmp\file440470_0_cols1_rows26.xml.html.cell.keys",10.0,15.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.0,15.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,
"E:\Data\table_annotation\tmp\file526591_0_cols1_rows20.xml.html.cell.keys",2.7,5.0,2.3,0.54,0.54,0.54,2.7,5.0,10.3,0.2076923076923077,0.54,0.30000000000000004,
"E:\Data\table_annotation\tmp\Final_24.html_0.xml.html.cell.keys",1.0,12.0,11.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0,14.0,0.06666666666666667,0.08333333333333333,0.07407407407407407,
"E:\Data\table_annotation\tmp\Fixed_dose_combination_(antiretroviral).html_0.xml.html.cell.keys",4.0,13.0,2.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,4.0,13.0,2.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,
"E:\Data\table_annotation\tmp\Former_municipalities_of_Norway_c4a3.html_8.xml.html.cell.keys",53.16666666666667,84.0,28.833333333333336,0.6483739837398375,0.632936507936508,0.640562248995984,53.16666666666667,84.0,39.83333333333333,0.5716845878136201,0.632936507936508,0.6007532956685498,
"E:\Data\table_annotation\tmp\Former_Southern_Conference_members_0958.html_0.xml.html.cell.keys",54.12063492063492,103.0,46.87936507936509,0.5358478705013359,0.5254430574818925,0.5305944600062248,54.12063492063492,103.0,241.87936507936507,0.18283998283998285,0.5254430574818925,0.2712813780482954,
"E:\Data\table_annotation\tmp\Generation_Adidas_28bc.html_4.xml.html.cell.keys",14.5,19.0,4.5,0.7631578947368421,0.7631578947368421,0.7631578947368421,14.5,19.0,6.5,0.6904761904761905,0.7631578947368421,0.725,
"E:\Data\table_annotation\tmp\Gowen_County,_New_South_Wales_ef76.html_0.xml.html.cell.keys",3.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\GraphiCon_ca64.html_0.xml.html.cell.keys",3.0,15.0,12.0,0.2,0.2,0.20000000000000004,3.0,15.0,14.0,0.17647058823529413,0.2,0.18750000000000003,
"E:\Data\table_annotation\tmp\Highest-income_counties_in_the_United_States_631d.html_2.xml.html.cell.keys",65.94574314574317,98.0,32.05425685425686,0.6729157463851342,0.6729157463851343,0.6729157463851342,65.94574314574317,98.0,182.0542568542569,0.26591025461993206,0.6729157463851343,0.3811892667383997,
"E:\Data\table_annotation\tmp\Hladno_pivo.html_0.xml.html.cell.keys",3.0,11.0,7.0,0.3,0.2727272727272727,0.28571428571428564,3.0,11.0,7.0,0.3,0.2727272727272727,0.28571428571428564,
"E:\Data\table_annotation\tmp\House_(TV_series)_e301.html_0.xml.html.cell.keys",8.5,18.0,9.5,0.4722222222222222,0.4722222222222222,0.4722222222222222,8.5,18.0,31.5,0.2125,0.4722222222222222,0.29310344827586204,
"E:\Data\table_annotation\tmp\Houston_Texans_draft_history_2b62.html_6.xml.html.cell.keys",8.0,17.0,9.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,8.0,17.0,11.0,0.42105263157894735,0.47058823529411764,0.4444444444444444,
"E:\Data\table_annotation\tmp\Independent_Wrestling_Federation_(Russia)_2ec2.html_0.xml.html.cell.keys",1.0,6.0,5.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,6.0,5.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,
"E:\Data\table_annotation\tmp\Iowa.html_4.xml.html.cell.keys",6.166666666666667,13.0,6.833333333333333,0.4743589743589744,0.4743589743589744,0.47435897435897434,6.166666666666667,13.0,13.833333333333332,0.30833333333333335,0.4743589743589744,0.3737373737373737,
"E:\Data\table_annotation\tmp\Italian_Canadians_93aa.html_0.xml.html.cell.keys",7.333333333333333,13.0,5.666666666666667,0.5641025641025641,0.5641025641025641,0.5641025641025641,7.333333333333333,13.0,9.666666666666666,0.4313725490196078,0.5641025641025641,0.4888888888888888,
"E:\Data\table_annotation\tmp\Jeff_Tweedy_ce20.html_1.xml.html.cell.keys",17.0,17.0,0.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Juventus_F.C._statistics_and_records_26e0.html_0.xml.html.cell.keys",9.25,10.0,0.75,0.925,0.925,0.925,9.25,10.0,3.75,0.7115384615384616,0.925,0.8043478260869567,
"E:\Data\table_annotation\tmp\KVNE_da85.html_0.xml.html.cell.keys",3.0,4.0,1.0,0.75,0.75,0.75,3.0,4.0,1.0,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\Lee_County,_Florida_fdc0.html_0.xml.html.cell.keys",7.833333333333333,12.0,4.166666666666667,0.6527777777777778,0.6527777777777778,0.6527777777777778,7.833333333333333,12.0,9.166666666666666,0.46078431372549017,0.6527777777777778,0.5402298850574712,
"E:\Data\table_annotation\tmp\List_of_African_countries_by_GDP_per_capita_b8bb.html_0.xml.html.cell.keys",38.58452380952381,52.0,13.415476190476191,0.7420100732600733,0.7420100732600733,0.7420100732600734,38.58452380952381,52.0,45.415476190476184,0.4593395691609977,0.7420100732600733,0.5674194677871148,
"E:\Data\table_annotation\tmp\List_of_airports_in_the_United_Kingdom_16d1.html_1.xml.html.cell.keys",12.25,15.0,2.75,0.8166666666666667,0.8166666666666667,0.8166666666666667,12.25,15.0,6.75,0.6447368421052632,0.8166666666666667,0.7205882352941178,
"E:\Data\table_annotation\tmp\List_of_Athabasca_University_people_bac1.html_0.xml.html.cell.keys",5.0,7.0,2.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,5.0,7.0,10.0,0.3333333333333333,0.7142857142857143,0.4545454545454545,
"E:\Data\table_annotation\tmp\List_of_Australian_game_shows_0fc4.html_1.xml.html.cell.keys",10.625,19.0,7.375,0.5902777777777778,0.5592105263157895,0.5743243243243243,10.625,19.0,16.375,0.39351851851851855,0.5592105263157895,0.46195652173913043,
"E:\Data\table_annotation\tmp\List_of_Australian_Prime_Ministers_by_time_in_office_1a2f.html_0.xml.html.cell.keys",23.166666666666664,26.0,2.8333333333333335,0.8910256410256411,0.891025641025641,0.8910256410256411,23.166666666666664,26.0,7.833333333333332,0.7473118279569892,0.891025641025641,0.8128654970760234,
