File,HEADER(0)_cp_y, gs_y, cp_n, p,r,f,HEADER(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\List_of_Disney_theatrical_animated_features_b17e.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\List_of_Doctor_Who_serials_d22a.html_4.xml.html.cell.keys",1.0,4.0,2.0,0.3333333333333333,0.25,0.28571428571428575,2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,
"E:\Data\table_annotation\tmp\List_of_Dutch_flags_5b3e.html_1.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_expressways_and_highways_in_Malaysia_fd41.html_2.xml.html.cell.keys",1.5,4.0,1.5,0.5,0.375,0.42857142857142855,2.25,4.0,0.75,0.75,0.5625,0.6428571428571429,
"E:\Data\table_annotation\tmp\List_of_Finnish_composers_0e0c.html_1.xml.html.cell.keys",0.3333333333333333,4.0,0.6666666666666667,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.5,4.0,0.5,0.5,0.125,0.2,
"E:\Data\table_annotation\tmp\List_of_foreign_ministers_in_1990.html_2.xml.html.cell.keys",0.1,3.0,1.9,0.05,0.03333333333333333,0.04,0.85,3.0,1.15,0.425,0.2833333333333333,0.34,
"E:\Data\table_annotation\tmp\List_of_game_show_hosts.html_4.xml.html.cell.keys",0.08695652173913043,3.0,2.9130434782608696,0.028985507246376812,0.028985507246376812,0.028985507246376812,1.1739130434782608,3.0,1.8260869565217392,0.3913043478260869,0.3913043478260869,0.3913043478260869,
"E:\Data\table_annotation\tmp\List_of_Governors_of_Kansas_38ec.html_3.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_Governors_of_Louisiana_70f6.html_7.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_high_schools_in_Indiana_c5c1.html_3.xml.html.cell.keys",0.3333333333333333,3.0,2.666666666666667,0.11111111111111109,0.1111111111111111,0.11111111111111109,1.1666666666666665,3.0,1.8333333333333335,0.38888888888888884,0.38888888888888884,0.3888888888888888,
"E:\Data\table_annotation\tmp\List_of_high_schools_in_Indiana_c5c1.html_31.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_ice_hockey_teams_in_Quebec_09ec.html_10.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\List_of_Indigenous_Australian_group_names_51f7.html_15.xml.html.cell.keys",0.5,4.0,3.5,0.125,0.125,0.125,1.2777777777777777,4.0,2.7222222222222223,0.3194444444444444,0.3194444444444444,0.3194444444444444,
"E:\Data\table_annotation\tmp\List_of_Kappa_Alpha_Psi_brothers_18d0.html_10.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\List_of_Lancashire_County_Cricket_Club_records_9066.html_5.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,0.8333333333333333,3.0,2.166666666666667,0.27777777777777773,0.27777777777777773,0.27777777777777773,
"E:\Data\table_annotation\tmp\List_of_LGBT_characters_in_modern_written_fiction_84cf.html_9.xml.html.cell.keys",0.8333333333333333,3.0,2.166666666666667,0.27777777777777773,0.27777777777777773,0.27777777777777773,1.25,3.0,1.75,0.4166666666666667,0.4166666666666667,0.4166666666666667,
"E:\Data\table_annotation\tmp\List_of_Members_of_the_European_Parliament_2004-2009_541b.html_13.xml.html.cell.keys",0.6764705882352942,5.0,4.323529411764706,0.13529411764705884,0.13529411764705884,0.13529411764705884,2.0441176470588234,5.0,2.9558823529411766,0.4088235294117647,0.4088235294117647,0.4088235294117647,
"E:\Data\table_annotation\tmp\List_of_metropolitan_areas_in_Taiwan_f4ef.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_minimum_wages_in_Canada_9ce7.html_0.xml.html.cell.keys",0.5,1.0,0.5,0.5,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\List_of_Nintendo_GameCube_games_37a3.html_11.xml.html.cell.keys",2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,2.5,4.0,0.5,0.8333333333333334,0.625,0.7142857142857143,
"E:\Data\table_annotation\tmp\List_of_number-one_singles_in_Australia_during_the_1980s_cf98.html_8.xml.html.cell.keys",2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_peaks_named_Bear_Mountain_0474.html_0.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.15,4.0,1.85,0.3833333333333333,0.2875,0.3285714285714285,
"E:\Data\table_annotation\tmp\List_of_people_from_Savannah,_Georgia_da72.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.75,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\List_of_people_with_epilepsy.html_11.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.25,2.0,0.75,0.25,0.125,0.16666666666666666,
"E:\Data\table_annotation\tmp\List_of_Philippine_provinces_by_population_9d11.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\List_of_poliomyelitis_survivors.html_9.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_Presidents_of_the_French_Republic_0bfc.html_0.xml.html.cell.keys",0.8333333333333333,4.0,1.1666666666666667,0.41666666666666663,0.20833333333333331,0.27777777777777773,1.25,4.0,0.75,0.625,0.3125,0.4166666666666667,
"E:\Data\table_annotation\tmp\List_of_Puerto_Rican_Academy_Award_winners_and_nominees_c63a.html_0.xml.html.cell.keys",1.8333333333333333,4.0,1.1666666666666667,0.611111111111111,0.4583333333333333,0.5238095238095237,2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,
"E:\Data\table_annotation\tmp\List_of_Puisne_Justices_of_the_Supreme_Court_of_Canada_4ebb.html_0.xml.html.cell.keys",1.0,8.0,4.0,0.2,0.125,0.15384615384615385,2.5,8.0,2.5,0.5,0.3125,0.38461538461538464,
"E:\Data\table_annotation\tmp\List_of_rivers_of_the_United_Kingdom_1a51.html_0.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.6666666666666667,0.3333333333333333,0.1111111111111111,0.16666666666666666,
"E:\Data\table_annotation\tmp\List_of_Seinfeld_minor_characters_0df6.html_5.xml.html.cell.keys",1.3333333333333333,4.0,2.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,4.0,2.0,0.5,0.5,0.5,
