File,REL(0)_cp_y, gs_y, cp_n, p,r,f,REL(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\List_of_settlements_in_Hertfordshire_by_population_65f9.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\List_of_Shopping_Centres_in_Australia_by_size_c80f.html_0.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_space_exploration_milestones,_1957-1969.html_2.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_1.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_6.xml.html.cell.keys",2.5,3.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.5,3.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,
"E:\Data\table_annotation\tmp\List_of_Strawberry_Shortcake_video_games_cf93.html_0.xml.html.cell.keys",1.0,4.0,1.0,0.5,0.25,0.3333333333333333,1.0,4.0,1.0,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_Test_cricket_grounds_ad94.html_9.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(1998)_c8e2.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(2006)_270c.html_11.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_victims_of_Nazism_be15.html_5.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\Miami_Heat_all-time_roster_6676.html_1.xml.html.cell.keys",2.0,5.0,0.0,1.0,0.4,0.5714285714285715,2.0,5.0,0.0,1.0,0.4,0.5714285714285715,
"E:\Data\table_annotation\tmp\Michael_Tuck_Medal_ce06.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Ministry_for_the_Environment_(New_Zealand)_8425.html_0.xml.html.cell.keys",0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Minnesota's_7th_congressional_district.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
